scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_drop,b_star_drop,p_star_drop
A_put,0.3671875,77.15371690679264,5.826981406834123e-07,2.8795659190551466e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.37109375,77.15922066540807,6.120732983508575e-07,2.9375157667445204e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.375,77.1651465126969,6.428401177207807e-07,3.076681936992322e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.37890625,77.1715189780707,6.75077380635371e-07,3.223726291459023e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3828125,77.17834716601456,7.088608845463048e-07,3.378350391093383e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.38671875,77.18559926147773,7.442469097118365e-07,3.538602516553166e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.390625,77.19311818374644,7.812150836505e-07,3.696817393866358e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.39453125,77.20032776250142,8.194615346289688e-07,3.82464509784688e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3984375,77.20647238466378,8.584968270995935e-07,3.903529247062472e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.40234375,77.21312817159003,8.993749140983225e-07,4.087808699872895e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.40625,77.2203192673902,9.422039716765966e-07,4.2829057578274145e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.41015625,77.22803648314346,9.870744803186237e-07,4.487050864202709e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4140625,77.23617370982794,1.0340031988964649e-06,4.692871857784113e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.41796875,77.24424823480162,1.0826821358889396e-06,4.867893699247474e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.421875,77.25173986329892,1.1327037915676413e-06,5.002165567870171e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.42578125,77.25952963083031,1.1848578765072818e-06,5.2154084939640534e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4296875,77.26803053021486,1.2396246306390187e-06,5.47667541317369e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.43359375,77.27719371087443,1.2970984828164797e-06,5.7473852177460915e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4375,77.2866868620608,1.3570802880058701e-06,5.998180518939045e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.44140625,77.296068686741,1.419201334201821e-06,6.212104619595081e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4453125,77.30583900908385,1.484075153379558e-06,6.487381917773717e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.44921875,77.31670731322315,1.552658673020781e-06,6.85835196412229e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.453125,77.32850018918187,1.62497710246011e-06,7.231842943932906e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.45703125,77.34043793936947,1.700257744402508e-06,7.528064194239797e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4609375,77.35358339106044,1.7800302441750437e-06,7.97724997725357e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.46484375,77.36863025342937,1.8655647430754102e-06,8.553449890036644e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.46875,77.384639730409,1.9559440149197126e-06,9.037927184430243e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.47265625,77.4026759603228,2.0531005708312977e-06,9.715655591158506e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.4765625,77.423680069438,2.1591011422350537e-06,1.0600057140375602e-07,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.48046875,77.44694914684297,2.2735943987495263e-06,1.1449325651447259e-07,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.484375,77.47408961589394,2.4001746311008756e-06,1.2658023235134933e-07,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
